cowcode,groupid,cowgroupid,year,kgcid
700,14000,70014000,1979,101
700,14000,70014000,1980,101
700,14000,70014000,1981,101
700,14000,70014000,1982,101
700,14000,70014000,1983,101
700,14000,70014000,1984,101
700,14000,70014000,1985,101
700,14000,70014000,1986,101
700,14000,70014000,1987,101
700,14000,70014000,1988,101
700,14000,70014000,1989,101
700,14000,70014000,1990,101
700,14000,70014000,1991,101
700,14000,70014000,1992,101
700,14000,70014000,1993,101
700,14000,70014000,1994,101
700,14000,70014000,1995,101
700,14000,70014000,1996,101
700,14000,70014000,1997,101
700,14000,70014000,1998,101
700,14000,70014000,1999,101
700,14000,70014000,2000,101
700,14000,70014000,2001,101
700,14000,70014000,2002,101
700,14000,70014000,2003,101
700,14000,70014000,2004,101
700,14000,70014000,2005,101
615,2000,61502000,1962,102
615,2000,61502000,1963,102
615,2000,61502000,1964,102
615,2000,61502000,1965,102
615,2000,61502000,1966,102
615,2000,61502000,1967,102
615,2000,61502000,1968,102
615,2000,61502000,1969,102
615,2000,61502000,1970,102
615,2000,61502000,1971,102
615,2000,61502000,1972,102
615,2000,61502000,1973,102
615,2000,61502000,1974,102
615,2000,61502000,1975,102
615,2000,61502000,1976,102
615,2000,61502000,1977,102
615,2000,61502000,1978,102
615,2000,61502000,1979,102
615,2000,61502000,1980,102
615,2000,61502000,1981,102
615,2000,61502000,1982,102
615,2000,61502000,1983,102
615,2000,61502000,1984,102
615,2000,61502000,1985,102
615,2000,61502000,1986,102
615,2000,61502000,1987,102
615,2000,61502000,1988,102
615,2000,61502000,1989,102
615,2000,61502000,1990,102
615,2000,61502000,1991,102
615,2000,61502000,1992,102
615,2000,61502000,1993,102
615,2000,61502000,1994,102
615,2000,61502000,1995,102
615,2000,61502000,1996,102
615,2000,61502000,1997,102
615,2000,61502000,1998,102
615,2000,61502000,1999,102
615,2000,61502000,2000,102
615,2000,61502000,2001,102
615,2000,61502000,2002,102
615,2000,61502000,2003,102
615,2000,61502000,2004,102
615,2000,61502000,2005,102
211,2000,21102000,1946,104
211,2000,21102000,1947,104
211,2000,21102000,1948,104
211,2000,21102000,1949,104
211,2000,21102000,1950,104
211,2000,21102000,1951,104
211,2000,21102000,1952,104
211,2000,21102000,1953,104
211,2000,21102000,1954,104
211,2000,21102000,1955,104
211,2000,21102000,1956,104
211,2000,21102000,1957,104
211,2000,21102000,1958,104
211,2000,21102000,1959,104
211,2000,21102000,1960,104
211,2000,21102000,1961,104
211,2000,21102000,1962,104
211,2000,21102000,1963,104
211,2000,21102000,1964,104
211,2000,21102000,1965,104
211,2000,21102000,1966,104
211,2000,21102000,1967,104
211,2000,21102000,1968,104
211,2000,21102000,1969,104
211,2000,21102000,1970,104
211,2000,21102000,1971,104
211,2000,21102000,1972,104
211,2000,21102000,1973,104
211,2000,21102000,1974,104
211,2000,21102000,1975,104
211,2000,21102000,1976,104
211,2000,21102000,1977,104
211,2000,21102000,1978,104
211,2000,21102000,1979,104
211,2000,21102000,1980,104
211,2000,21102000,1981,104
211,2000,21102000,1982,104
211,2000,21102000,1983,104
211,2000,21102000,1984,104
211,2000,21102000,1985,104
211,2000,21102000,1986,104
211,2000,21102000,1987,104
211,2000,21102000,1988,104
211,2000,21102000,1989,104
211,2000,21102000,1990,104
211,2000,21102000,1991,104
211,2000,21102000,1992,104
211,2000,21102000,1993,104
211,2000,21102000,1994,104
211,2000,21102000,1995,104
211,2000,21102000,1996,104
211,2000,21102000,1997,104
211,2000,21102000,1998,104
211,2000,21102000,1999,104
211,2000,21102000,2000,104
211,2000,21102000,2001,104
211,2000,21102000,2002,104
211,2000,21102000,2003,104
211,2000,21102000,2004,104
211,2000,21102000,2005,104
20,4000,2004000,1946,105
20,4000,2004000,1947,105
20,4000,2004000,1948,105
20,4000,2004000,1949,105
20,4000,2004000,1950,105
20,4000,2004000,1951,105
20,4000,2004000,1952,105
20,4000,2004000,1953,105
20,4000,2004000,1954,105
20,4000,2004000,1955,105
20,4000,2004000,1956,105
20,4000,2004000,1957,105
20,4000,2004000,1958,105
20,4000,2004000,1959,105
20,4000,2004000,1960,105
20,4000,2004000,1961,105
20,4000,2004000,1962,105
20,4000,2004000,1963,105
20,4000,2004000,1964,105
20,4000,2004000,1965,105
20,4000,2004000,1966,105
20,4000,2004000,1967,105
20,4000,2004000,1968,105
20,4000,2004000,1969,105
20,4000,2004000,1970,105
20,4000,2004000,1971,105
20,4000,2004000,1972,105
20,4000,2004000,1973,105
20,4000,2004000,1974,105
20,4000,2004000,1975,105
20,4000,2004000,1976,105
20,4000,2004000,1977,105
20,4000,2004000,1978,105
20,4000,2004000,1979,105
20,4000,2004000,1980,105
20,4000,2004000,1981,105
20,4000,2004000,1982,105
20,4000,2004000,1983,105
20,4000,2004000,1984,105
20,4000,2004000,1985,105
20,4000,2004000,1986,105
20,4000,2004000,1987,105
20,4000,2004000,1988,105
20,4000,2004000,1989,105
20,4000,2004000,1990,105
20,4000,2004000,1991,105
20,4000,2004000,1992,105
20,4000,2004000,1993,105
20,4000,2004000,1994,105
20,4000,2004000,1995,105
20,4000,2004000,1996,105
20,4000,2004000,1997,105
20,4000,2004000,1998,105
20,4000,2004000,1999,105
20,4000,2004000,2000,105
20,4000,2004000,2001,105
20,4000,2004000,2002,105
20,4000,2004000,2003,105
20,4000,2004000,2004,105
20,4000,2004000,2005,105
710,38000,71038000,1946,106
710,38000,71038000,1947,106
710,38000,71038000,1948,106
710,38000,71038000,1949,106
710,38000,71038000,1950,106
710,38000,71038000,1951,106
710,38000,71038000,1952,106
710,38000,71038000,1953,106
710,38000,71038000,1954,106
710,38000,71038000,1955,106
710,38000,71038000,1956,106
710,38000,71038000,1957,106
710,38000,71038000,1958,106
710,38000,71038000,1959,106
710,38000,71038000,1960,106
710,38000,71038000,1961,106
710,38000,71038000,1962,106
710,38000,71038000,1963,106
710,38000,71038000,1964,106
710,38000,71038000,1965,106
710,38000,71038000,1977,106
710,38000,71038000,1978,106
710,38000,71038000,1979,106
710,38000,71038000,1980,106
710,38000,71038000,1981,106
710,38000,71038000,1982,106
710,38000,71038000,1983,106
710,38000,71038000,1984,106
710,38000,71038000,1985,106
710,38000,71038000,1986,106
710,38000,71038000,1987,106
710,38000,71038000,1988,106
710,38000,71038000,1989,106
710,38000,71038000,1990,106
710,38000,71038000,1991,106
710,38000,71038000,1992,106
710,38000,71038000,1993,106
710,38000,71038000,1994,106
710,38000,71038000,1995,106
710,38000,71038000,1996,106
710,38000,71038000,1997,106
710,38000,71038000,1998,106
710,38000,71038000,1999,106
710,38000,71038000,2000,106
710,38000,71038000,2001,106
710,38000,71038000,2002,106
710,38000,71038000,2003,106
710,38000,71038000,2004,106
710,38000,71038000,2005,106
100,3000,10003000,1946,107
100,3000,10003000,1947,107
100,3000,10003000,1948,107
100,3000,10003000,1949,107
100,3000,10003000,1950,107
100,3000,10003000,1951,107
100,3000,10003000,1952,107
100,3000,10003000,1953,107
100,3000,10003000,1954,107
100,3000,10003000,1955,107
100,3000,10003000,1956,107
100,3000,10003000,1957,107
100,3000,10003000,1958,107
100,3000,10003000,1959,107
100,3000,10003000,1960,107
100,3000,10003000,1961,107
100,3000,10003000,1962,107
100,3000,10003000,1963,107
100,3000,10003000,1964,107
100,3000,10003000,1965,107
100,3000,10003000,1966,107
100,3000,10003000,1967,107
100,3000,10003000,1968,107
100,3000,10003000,1969,107
100,3000,10003000,1970,107
100,3000,10003000,1971,107
100,3000,10003000,1972,107
100,3000,10003000,1973,107
100,3000,10003000,1974,107
100,3000,10003000,1975,107
100,3000,10003000,1976,107
100,3000,10003000,1977,107
100,3000,10003000,1978,107
100,3000,10003000,1979,107
100,3000,10003000,1980,107
100,3000,10003000,1981,107
100,3000,10003000,1982,107
100,3000,10003000,1983,107
100,3000,10003000,1984,107
100,3000,10003000,1985,107
100,3000,10003000,1986,107
100,3000,10003000,1987,107
100,3000,10003000,1988,107
100,3000,10003000,1989,107
100,3000,10003000,1990,107
100,3000,10003000,1991,107
100,3000,10003000,1992,107
100,3000,10003000,1993,107
100,3000,10003000,1994,107
100,3000,10003000,1995,107
100,3000,10003000,1996,107
100,3000,10003000,1997,107
100,3000,10003000,1998,107
100,3000,10003000,1999,107
100,3000,10003000,2000,107
100,3000,10003000,2001,107
100,3000,10003000,2002,107
100,3000,10003000,2003,107
100,3000,10003000,2004,107
100,3000,10003000,2005,107
530,1000,53001000,1946,109
530,1000,53001000,1947,109
530,1000,53001000,1948,109
530,1000,53001000,1949,109
530,1000,53001000,1950,109
530,1000,53001000,1951,109
530,1000,53001000,1952,109
530,1000,53001000,1953,109
530,1000,53001000,1954,109
530,1000,53001000,1955,109
530,1000,53001000,1956,109
530,1000,53001000,1957,109
530,1000,53001000,1958,109
530,1000,53001000,1959,109
530,1000,53001000,1960,109
530,1000,53001000,1961,109
530,1000,53001000,1962,109
530,1000,53001000,1963,109
530,1000,53001000,1964,109
530,1000,53001000,1965,109
530,1000,53001000,1966,109
530,1000,53001000,1967,109
530,1000,53001000,1968,109
530,1000,53001000,1969,109
530,1000,53001000,1970,109
530,1000,53001000,1971,109
530,1000,53001000,1972,109
530,1000,53001000,1973,109
530,1000,53001000,1974,109
530,1000,53001000,1975,109
530,1000,53001000,1976,109
530,1000,53001000,1977,109
530,1000,53001000,1978,109
530,1000,53001000,1979,109
530,1000,53001000,1980,109
530,1000,53001000,1981,109
530,1000,53001000,1982,109
530,1000,53001000,1983,109
530,1000,53001000,1984,109
530,1000,53001000,1985,109
530,1000,53001000,1986,109
530,1000,53001000,1987,109
530,1000,53001000,1988,109
530,1000,53001000,1989,109
530,1000,53001000,1990,109
530,1000,53001000,1991,109
530,1000,53001000,1992,109
530,1000,53001000,1993,109
530,1000,53001000,1994,109
530,1000,53001000,1995,109
530,1000,53001000,1996,109
530,1000,53001000,1997,109
530,1000,53001000,1998,109
530,1000,53001000,1999,109
530,1000,53001000,2000,109
530,1000,53001000,2001,109
530,1000,53001000,2002,109
530,1000,53001000,2003,109
530,1000,53001000,2004,109
530,1000,53001000,2005,109
220,2000,22002000,1946,110
220,2000,22002000,1947,110
220,2000,22002000,1948,110
220,2000,22002000,1949,110
220,2000,22002000,1950,110
220,2000,22002000,1951,110
220,2000,22002000,1952,110
220,2000,22002000,1953,110
220,2000,22002000,1954,110
220,2000,22002000,1955,110
220,2000,22002000,1956,110
220,2000,22002000,1957,110
220,2000,22002000,1958,110
220,2000,22002000,1959,110
220,2000,22002000,1960,110
220,2000,22002000,1961,110
220,2000,22002000,1962,110
220,2000,22002000,1963,110
220,2000,22002000,1964,110
220,2000,22002000,1965,110
220,2000,22002000,1966,110
220,2000,22002000,1967,110
220,2000,22002000,1968,110
220,2000,22002000,1969,110
220,2000,22002000,1970,110
220,2000,22002000,1971,110
220,2000,22002000,1972,110
220,2000,22002000,1973,110
220,2000,22002000,1974,110
220,2000,22002000,1975,110
220,2000,22002000,1976,110
220,2000,22002000,1977,110
220,2000,22002000,1978,110
220,2000,22002000,1979,110
220,2000,22002000,1980,110
220,2000,22002000,1981,110
220,2000,22002000,1982,110
220,2000,22002000,1983,110
220,2000,22002000,1984,110
220,2000,22002000,1985,110
220,2000,22002000,1986,110
220,2000,22002000,1987,110
220,2000,22002000,1988,110
220,2000,22002000,1989,110
220,2000,22002000,1990,110
220,2000,22002000,1991,110
220,2000,22002000,1992,110
220,2000,22002000,1993,110
220,2000,22002000,1994,110
220,2000,22002000,1995,110
220,2000,22002000,1996,110
220,2000,22002000,1997,110
220,2000,22002000,1998,110
220,2000,22002000,1999,110
220,2000,22002000,2000,110
220,2000,22002000,2001,110
