country,year,region,civil_war,civil_war_onset,civil_war_prev_yr,milex,population,gdp,uds,checks,fh_political_rights,fh_civil_liberties,fh_status,polity_democracy,polity_autocracy,polity_total
Afghanistan,1960,South Asia,0,0,0,,8996967,537777811.111111,-1.46168507010039,,,,,0,10,-10
Afghanistan,1961,South Asia,0,0,0,,9169406,548888895.555556,-1.56310477184025,,,,,0,10,-10
Afghanistan,1962,South Asia,0,0,0,,9351442,546666677.777778,-1.57262824426813,,,,,0,10,-10
Afghanistan,1963,South Asia,0,0,0,,9543200,751111191.111111,-1.56935343930303,,,,,0,10,-10
Afghanistan,1964,South Asia,0,0,0,,9744772,800000044.444444,-1.13203310335208,,,,,0,7,-7
Afghanistan,1965,South Asia,0,0,0,,9956318,1006666637.77778,-0.891054525775398,,,,,0,7,-7
Afghanistan,1966,South Asia,0,0,0,,10174840,1399999966.66667,-0.847215757112913,,,,,0,7,-7
Afghanistan,1967,South Asia,0,0,0,,10399936,1673333417.77778,-0.850931589642614,,,,,0,7,-7
Afghanistan,1968,South Asia,0,0,0,,10637064,1373333366.66667,-0.850060719448659,,,,,0,7,-7
Afghanistan,1969,South Asia,0,0,0,,10893772,1408888922.22222,-0.849713770999304,,,,,0,7,-7
Afghanistan,1970,South Asia,0,0,0,2939585.50125376,11173654,1748886595.55556,-0.848283138908626,,,,,0,7,-7
Afghanistan,1971,South Asia,0,0,0,,11475450,1831108971.11111,-0.848189586745086,,,,,0,7,-7
Afghanistan,1972,South Asia,0,0,0,,11791222,1595555475.55556,-0.646120028290834,,4,5,PF,0,7,-7
Afghanistan,1973,South Asia,0,0,0,3341271.55123016,12108963,1733333264.44444,-1.05078413937586,,7,6,NF,0,7,-7
Afghanistan,1974,South Asia,0,0,0,3581366.35143003,12412960,2155555497.77778,-1.04880310778612,,7,6,NF,0,7,-7
Afghanistan,1975,South Asia,0,0,0,4203664.56865451,12689164,2366666615.55556,-1.04792781328357,1,7,6,NF,0,7,-7
Afghanistan,1976,South Asia,0,0,0,5393251.2159455,12943093,2555555566.66667,-1.05230774489739,1,7,6,NF,0,7,-7
Afghanistan,1977,South Asia,0,0,0,6127288.0633346,13171294,2953333417.77778,-0.966488533600056,1,6,6,NF,0,7,-7
Afghanistan,1978,South Asia,1,1,0,,13341199,3300000108.88889,-0.95449666429351,1,7,7,NF,,,
Afghanistan,1979,South Asia,1,0,1,,13411060,3697940409.61098,-1.864144927416,1,7,7,NF,,,
Afghanistan,1980,South Asia,1,0,1,,13356500,3641723321.99546,-2.03908355163231,1,7,7,NF,,,
Afghanistan,1981,South Asia,1,0,1,,13171679,3478787909.09091,-1.85154555255864,1,,,,,,
Afghanistan,1982,South Asia,1,0,1,,12882518,,-1.86056735058746,1,7,7,NF,,,
Afghanistan,1983,South Asia,1,0,1,,12537732,,-1.64405378798106,1,7,7,NF,,,
Afghanistan,1984,South Asia,1,0,1,,12204306,,-1.64114439152636,1,7,7,NF,,,
Afghanistan,1985,South Asia,1,0,1,,11938204,,-1.83679433102271,1,7,7,NF,,,
Afghanistan,1986,South Asia,1,0,1,,11736177,,-1.62587934608781,1,7,7,NF,,,
Afghanistan,1987,South Asia,1,0,1,,11604538,,-1.64135049797022,1,7,7,NF,,,
Afghanistan,1988,South Asia,1,0,1,,11618008,,-1.26928934614551,1,6,6,NF,,,
Afghanistan,1989,South Asia,1,0,1,,11868873,,-1.31847352632657,1,7,7,NF,0,8,-8
Afghanistan,1990,South Asia,1,0,1,,12412311,,-1.32815702558815,1,7,7,NF,0,8,-8
Afghanistan,1991,South Asia,1,0,1,,13299016,,-1.32275765223517,1,7,7,NF,0,8,-8
Afghanistan,1992,South Asia,1,0,1,,14485543,,-0.59602655449505,1,6,6,NF,,,
Afghanistan,1993,South Asia,1,0,1,,15816601,,-0.792372396573952,1,7,7,NF,,,
Afghanistan,1994,South Asia,1,0,1,,17075728,,-0.788449454795605,1,7,7,NF,,,
Afghanistan,1995,South Asia,1,0,1,,18110662,,-0.788855547342899,1,7,7,NF,,,
Afghanistan,1996,South Asia,1,0,1,,18853444,,-1.18209586335725,1,7,7,NF,0,7,-7
Afghanistan,1997,South Asia,1,0,1,,19357126,,-1.18210185447153,1,7,7,NF,0,7,-7
Afghanistan,1998,South Asia,1,0,1,,19737770,,-1.19137028038274,1,7,7,NF,0,7,-7
Afghanistan,1999,South Asia,1,0,1,,20170847,,-1.17573852012372,1,7,7,NF,0,7,-7
Afghanistan,2000,South Asia,1,0,1,,20779957,,-1.36304690591985,1,7,7,NF,0,7,-7
Afghanistan,2001,South Asia,1,0,1,,21606992,,-1.63219930744776,1,7,7,NF,,,
Afghanistan,2002,South Asia,1,0,1,,22600774,4055179566.34981,-0.877518803009756,1,6,6,NF,,,
Afghanistan,2003,South Asia,1,0,1,,23680871,4515558808.10994,-0.884849678100808,1,6,6,NF,,,
Afghanistan,2004,South Asia,1,0,1,125111557.457054,24726689,5226778808.89209,-0.702415598191655,1,5,6,NF,,,
Afghanistan,2005,South Asia,1,0,1,122727193.134874,25654274,6209137624.77181,-0.231028580491201,1,5,5,PF,,,
Afghanistan,2006,South Asia,1,0,1,131346231.269517,26433058,6971285594.68013,-0.312526285469601,1,5,5,PF,,,
Afghanistan,2007,South Asia,1,0,1,219580214.296198,27100542,9747879531.86311,-0.228373077020802,1,5,5,PF,,,
Afghanistan,2008,South Asia,1,0,1,240532594.620985,27722281,10109305182.952,-0.377696069811925,1,5,6,NF,,,
Afghanistan,2009,South Asia,1,0,1,251869514.820335,28394806,12416161048.8412,-0.542272001801947,1,6,6,NF,,,
Afghanistan,2010,South Asia,1,0,1,298146852.519599,29185511,15856678596.148,-0.693909150465608,1,6,6,NF,,,
Afghanistan,2011,South Asia,1,0,1,325807003.657989,30117411,17805113118.8938,-0.846442589914445,,6,6,NF,,,
Afghanistan,2012,South Asia,1,0,1,238583385.374322,31161378,19907317065.6666,-0.844970253325341,,6,6,NF,,,
Afghanistan,2013,South Asia,1,0,1,217194107.113298,32269592,20146404996.223,,,6,6,NF,,,
Afghanistan,2014,South Asia,1,0,1,268227074.235808,33370804,20497126770.1335,,,6,6,NF,1,2,-1
Afghanistan,2015,South Asia,1,1,1,199518614.831897,34413603,19134211763.859,,,6,6,NF,1,2,-1
Afghanistan,2016,South Asia,1,0,1,185878310.062383,35383028,18116562464.9088,,,6,6,NF,1,2,-1
Afghanistan,2017,South Asia,1,0,1,191407113.244397,36296111,18753469630.2586,,,5,6,NF,1,2,-1
Afghanistan,2018,South Asia,1,0,1,198074728.574408,37171922,18053228578.8878,,,5,6,NF,1,2,-1
Afghanistan,2019,South Asia,1,0,1,225835643.869378,38041757,18799450742.7823,,,5,6,NF,,,
Afghanistan,2020,South Asia,1,0,1,279576954.925193,38928341,20116137325.8206,,,5,6,NF,,,
Algeria,1962,Middle East & North Africa,0,0,0,,11619828,2001428328.37091,-1.10350040967928,,,,,0,8,-8
Algeria,1963,Middle East & North Africa,0,0,0,66436300.1462409,11912800,2702960118.28806,-1.11109716976231,,,,,0,8,-8
Algeria,1964,Middle East & North Africa,0,0,0,99856999.9149291,12221675,2909292864.23204,-1.10068008998198,,,,,0,8,-8
Algeria,1965,Middle East & North Africa,0,0,0,105528391.390828,12550880,3136258896.9233,-1.14562832106624,,,,,0,9,-9
Algeria,1966,Middle East & North Africa,0,0,0,104515642.912989,12902626,3039834558.74906,-1.29427965220853,,,,,0,9,-9
Algeria,1967,Middle East & North Africa,0,0,0,99249350.8282257,13275020,3370843065.76735,-1.46641454221369,,,,,0,9,-9
Algeria,1968,Middle East & North Africa,0,0,0,99249350.8282257,13663581,3852115816.97758,-1.46229765284774,,,,,0,9,-9
Algeria,1969,Middle East & North Africa,0,0,0,99249350.8282257,14061724,4257218772.15369,-1.45768215498102,,,,,0,9,-9
Algeria,1970,Middle East & North Africa,0,0,0,98844251.4370901,14464992,4863487492.65763,-1.45914796303276,,,,,0,9,-9
Algeria,1971,Middle East & North Africa,0,0,0,99946261.0734758,14872253,5077222366.97472,-1.46153336073214,,,,,0,9,-9
Algeria,1972,Middle East & North Africa,0,0,0,109942841.328331,15285992,6766766610.86932,-1.15518186544787,,6,6,NF,0,9,-9
Algeria,1973,Middle East & North Africa,0,0,0,136757097.791798,15709831,8707847924.29022,-1.1522307372335,,6,6,NF,0,9,-9
Algeria,1974,Middle East & North Africa,0,0,0,260168630.030497,16149018,13210029612.2659,-1.14765751916686,,6,6,NF,0,9,-9
Algeria,1975,Middle East & North Africa,0,0,0,332252159.18327,16607706,15557934268.4965,-1.24624446489435,1,7,6,NF,0,9,-9
Algeria,1976,Middle East & North Africa,0,0,0,480640373.503177,17085799,17728347374.994,-1.15784886506937,1,6,6,NF,0,9,-9
Algeria,1977,Middle East & North Africa,0,0,0,471669447.954548,17582899,20971901273.271,-1.06236472709067,1,6,6,NF,0,9,-9
Algeria,1978,Middle East & North Africa,0,0,0,627852442.068635,18102266,26364491313.4471,-1.06295775077033,1,6,6,NF,0,9,-9
Algeria,1979,Middle East & North Africa,0,0,0,711681247.356142,18647801,33243422157.6311,-1.06421738871597,1,6,6,NF,0,9,-9
Algeria,1980,Middle East & North Africa,0,0,0,890174464.813874,19221659,42346380830.7708,-1.12863305076266,1,6,6,NF,0,9,-9
Algeria,1981,Middle East & North Africa,0,0,0,806569334.609262,19824297,44348672667.8715,-1.06581710173818,1,,,,0,9,-9
Algeria,1982,Middle East & North Africa,0,0,0,932452707.749461,20452901,45207088715.6483,-1.05773087395079,1,6,6,NF,0,9,-9
Algeria,1983,Middle East & North Africa,0,0,0,952430671.56699,21101875,48801369800.3675,-1.13759209902395,1,6,6,NF,0,9,-9
Algeria,1984,Middle East & North Africa,0,0,0,929290821.271549,21763578,53698278905.9678,-1.13567200152182,1,6,6,NF,0,9,-9
Algeria,1985,Middle East & North Africa,0,0,0,953299653.924182,22431507,57937868670.1937,-1.1812275205681,1,6,6,NF,0,9,-9
Algeria,1986,Middle East & North Africa,0,0,0,1127103217.13537,23102386,63692238160.0493,-1.13177741311589,1,6,6,NF,0,9,-9
Algeria,1987,Middle East & North Africa,0,0,0,1196971384.03296,23774287,66746396416.2732,-1.13087231504642,1,6,6,NF,0,9,-9
Algeria,1988,Middle East & North Africa,0,0,0,1028611425.29633,24443472,59089067187.3943,-0.863628267721883,1,5,6,NF,0,9,-9
Algeria,1989,Middle East & North Africa,0,0,0,854300945.251138,25106192,55634414465.2104,-0.329893895168939,1,6,4,PF,1,3,-2
Algeria,1990,Middle East & North Africa,0,0,0,904269155.155841,25758872,62048562947.2509,-0.185477586824361,1,4,4,PF,1,3,-2
Algeria,1991,Middle East & North Africa,1,1,0,565098062.567328,26400468,45715614559.7064,-0.187777260820989,1,4,4,PF,1,3,-2
Algeria,1992,Middle East & North Africa,1,0,1,1053301642.69261,27028330,48003078388.5401,-1.00538871753233,1,7,6,NF,0,7,-7
Algeria,1993,Middle East & North Africa,1,0,1,1276911083.12558,27635517,49945599428.5812,-1.01142800778623,1,7,6,NF,0,7,-7
Algeria,1994,Middle East & North Africa,1,0,1,1334911647.6746,28213777,42543178042.4148,-1.18595469274612,1,7,7,NF,0,7,-7
Algeria,1995,Middle East & North Africa,1,0,1,1234655191.58587,28757788,41764315330.4366,-0.426457454655125,1,6,6,NF,1,4,-3
Algeria,1996,Middle East & North Africa,1,0,1,1452431007.74627,29266415,46941582519.4661,-0.424794137410913,1,6,6,NF,1,4,-3
Algeria,1997,Middle East & North Africa,1,0,1,1752395277.54721,29742980,48177612042.1507,-0.373212869884836,,6,6,NF,1,4,-3
Algeria,1998,Middle East & North Africa,1,0,1,1910962052.4694,30192750,48187747528.899,-0.307139420605882,,6,5,NF,1,4,-3
Algeria,1999,Middle East & North Africa,1,0,1,1826496569.97712,30623406,48640653469.3025,-0.297735771868772,,6,5,NF,1,4,-3
Algeria,2000,Middle East & North Africa,1,0,1,1881163649.11945,31042238,54790392746.1939,-0.184923480904688,,6,5,NF,1,4,-3
Algeria,2001,Middle East & North Africa,1,0,1,2091627274.4933,31451513,54744712814.8676,-0.294056168413199,,6,5,NF,1,4,-3
Algeria,2002,Middle East & North Africa,1,0,1,2100602520.77322,31855110,56760355865.0082,-0.353189172714291,,6,5,NF,1,4,-3
Algeria,2003,Middle East & North Africa,1,0,1,2206395762.00013,32264159,67863828412.6882,-0.351475563407003,2,6,5,NF,1,4,-3
Algeria,2004,Middle East & North Africa,1,0,1,2802224794.13161,32692153,85332581188.6107,-0.296420924657129,2,6,5,NF,3,1,2
Algeria,2005,Middle East & North Africa,1,0,1,2924820166.95712,33149720,103198223709.439,-0.245186151802403,1,6,5,NF,3,1,2
