kgcid,groupname,country,year,relative_size,size,religion_1,religion_2,region,civil_war,civil_war_onset,civil_war_prev_yr,milex,population,gdp,uds,checks,fh_political_rights,fh_civil_liberties,fh_status,polity_democracy,polity_autocracy,polity_total
101,Tajiks,Afghanistan,1978,0.6,3335300,Sunni Muslim,"",South Asia,1,1,0,,13341199,3300000108.88889,-0.95449666429351,1,7,7,NF,,,
101,Tajiks,Afghanistan,1979,0.6,3352765,Sunni Muslim,"",South Asia,1,0,1,,13411060,3697940409.61098,-1.864144927416,1,7,7,NF,,,
101,Tajiks,Afghanistan,1980,0.6,3339125,Sunni Muslim,"",South Asia,1,0,1,,13356500,3641723321.99546,-2.03908355163231,1,7,7,NF,,,
101,Tajiks,Afghanistan,1981,0.61,3292920,Sunni Muslim,"",South Asia,1,0,1,,13171679,3478787909.09091,-1.85154555255864,1,,,"",,,
101,Tajiks,Afghanistan,1982,0.63,3220630,Sunni Muslim,"",South Asia,1,0,1,,12882518,,-1.86056735058746,1,7,7,NF,,,
101,Tajiks,Afghanistan,1983,0.64,3134433,Sunni Muslim,"",South Asia,1,0,1,,12537732,,-1.64405378798106,1,7,7,NF,,,
101,Tajiks,Afghanistan,1984,0.66,3051076,Sunni Muslim,"",South Asia,1,0,1,,12204306,,-1.64114439152636,1,7,7,NF,,,
101,Tajiks,Afghanistan,1985,0.67,2984551,Sunni Muslim,"",South Asia,1,0,1,,11938204,,-1.83679433102271,1,7,7,NF,,,
101,Tajiks,Afghanistan,1986,0.69,2934044,Sunni Muslim,"",South Asia,1,0,1,,11736177,,-1.62587934608781,1,7,7,NF,,,
101,Tajiks,Afghanistan,1987,0.69,2901134,Sunni Muslim,"",South Asia,1,0,1,,11604538,,-1.64135049797022,1,7,7,NF,,,
101,Tajiks,Afghanistan,1988,0.69,2904502,Sunni Muslim,"",South Asia,1,0,1,,11618008,,-1.26928934614551,1,6,6,NF,,,
101,Tajiks,Afghanistan,1989,0.68,2967218,Sunni Muslim,"",South Asia,1,0,1,,11868873,,-1.31847352632657,1,7,7,NF,0,8,-8
101,Tajiks,Afghanistan,1990,0.65,3103078,Sunni Muslim,"",South Asia,1,0,1,,12412311,,-1.32815702558815,1,7,7,NF,0,8,-8
101,Tajiks,Afghanistan,1991,0.61,3324754,Sunni Muslim,"",South Asia,1,0,1,,13299016,,-1.32275765223517,1,7,7,NF,0,8,-8
101,Tajiks,Afghanistan,1992,0.56,3621386,Sunni Muslim,"",South Asia,1,0,1,,14485543,,-0.59602655449505,1,6,6,NF,,,
101,Tajiks,Afghanistan,1993,0.51,3954150,Sunni Muslim,"",South Asia,1,0,1,,15816601,,-0.792372396573952,1,7,7,NF,,,
101,Tajiks,Afghanistan,1994,0.47,4268932,Sunni Muslim,"",South Asia,1,0,1,,17075728,,-0.788449454795605,1,7,7,NF,,,
101,Tajiks,Afghanistan,1995,0.44,4527666,Sunni Muslim,"",South Asia,1,0,1,,18110662,,-0.788855547342899,1,7,7,NF,,,
101,Tajiks,Afghanistan,1996,0.43,4713361,Sunni Muslim,"",South Asia,1,0,1,,18853444,,-1.18209586335725,1,7,7,NF,0,7,-7
101,Tajiks,Afghanistan,1997,0.42,4839282,Sunni Muslim,"",South Asia,1,0,1,,19357126,,-1.18210185447153,1,7,7,NF,0,7,-7
101,Tajiks,Afghanistan,1998,0.41,4934442,Sunni Muslim,"",South Asia,1,0,1,,19737770,,-1.19137028038274,1,7,7,NF,0,7,-7
101,Tajiks,Afghanistan,1999,0.4,5042712,Sunni Muslim,"",South Asia,1,0,1,,20170847,,-1.17573852012372,1,7,7,NF,0,7,-7
101,Tajiks,Afghanistan,2000,0.39,5194989,Sunni Muslim,"",South Asia,1,0,1,,20779957,,-1.36304690591985,1,7,7,NF,0,7,-7
101,Tajiks,Afghanistan,2001,0.37,5401748,Sunni Muslim,"",South Asia,1,0,1,,21606992,,-1.63219930744776,1,7,7,NF,,,
101,Tajiks,Afghanistan,2002,0.36,5650194,Sunni Muslim,"",South Asia,1,0,1,,22600774,4055179566.34981,-0.877518803009756,1,6,6,NF,,,
101,Tajiks,Afghanistan,2003,0.34,5920218,Sunni Muslim,"",South Asia,1,0,1,,23680871,4515558808.10994,-0.884849678100808,1,6,6,NF,,,
101,Tajiks,Afghanistan,2004,0.31,6181672,Sunni Muslim,"",South Asia,1,0,1,125111557.457054,24726689,5226778808.89209,-0.702415598191655,1,5,6,NF,,,
101,Tajiks,Afghanistan,2005,0.31,6413568,Sunni Muslim,"",South Asia,1,0,1,122727193.134874,25654274,6209137624.77181,-0.231028580491201,1,5,5,PF,,,
101,Tajiks,Afghanistan,2006,0.32,6608264,Sunni Muslim,"",South Asia,1,0,1,131346231.269517,26433058,6971285594.68013,-0.312526285469601,1,5,5,PF,,,
101,Tajiks,Afghanistan,2007,0.3,6775136,Sunni Muslim,"",South Asia,1,0,1,219580214.296198,27100542,9747879531.86311,-0.228373077020802,1,5,5,PF,,,
101,Tajiks,Afghanistan,2008,0.29,6930570,Sunni Muslim,"",South Asia,1,0,1,240532594.620985,27722281,10109305182.952,-0.377696069811925,1,5,6,NF,,,
101,Tajiks,Afghanistan,2009,0.28,7098702,Sunni Muslim,"",South Asia,1,0,1,251869514.820335,28394806,12416161048.8412,-0.542272001801947,1,6,6,NF,,,
101,Tajiks,Afghanistan,2010,0.28,7296378,Sunni Muslim,"",South Asia,1,0,1,298146852.519599,29185511,15856678596.148,-0.693909150465608,1,6,6,NF,,,
101,Tajiks,Afghanistan,2011,0.27,7529353,Sunni Muslim,"",South Asia,1,0,1,325807003.657989,30117411,17805113118.8938,-0.846442589914445,,6,6,NF,,,
101,Tajiks,Afghanistan,2012,0.26,7790344,Sunni Muslim,"",South Asia,1,0,1,238583385.374322,31161378,19907317065.6666,-0.844970253325341,,6,6,NF,,,
101,Tajiks,Afghanistan,2013,0.25,8067398,Sunni Muslim,"",South Asia,1,0,1,217194107.113298,32269592,20146404996.223,,,6,6,NF,,,
101,Tajiks,Afghanistan,2014,0.24,8342701,Sunni Muslim,"",South Asia,1,0,1,268227074.235808,33370804,20497126770.1335,,,6,6,NF,1,2,-1
101,Tajiks,Afghanistan,2015,0.23,8603401,Sunni Muslim,"",South Asia,1,1,1,199518614.831897,34413603,19134211763.859,,,6,6,NF,1,2,-1
