kgcid,groupname,country,year,relative_size,size,religion_1,religion_2
101,Tajiks,Afghanistan,1978,0.6,3335300,Sunni Muslim,
101,Tajiks,Afghanistan,1979,0.6,3352765,Sunni Muslim,
101,Tajiks,Afghanistan,1980,0.6,3339125,Sunni Muslim,
101,Tajiks,Afghanistan,1981,0.61,3292920,Sunni Muslim,
101,Tajiks,Afghanistan,1982,0.63,3220630,Sunni Muslim,
101,Tajiks,Afghanistan,1983,0.64,3134433,Sunni Muslim,
101,Tajiks,Afghanistan,1984,0.66,3051076,Sunni Muslim,
101,Tajiks,Afghanistan,1985,0.67,2984551,Sunni Muslim,
101,Tajiks,Afghanistan,1986,0.69,2934044,Sunni Muslim,
101,Tajiks,Afghanistan,1987,0.69,2901134,Sunni Muslim,
101,Tajiks,Afghanistan,1988,0.69,2904502,Sunni Muslim,
101,Tajiks,Afghanistan,1989,0.68,2967218,Sunni Muslim,
101,Tajiks,Afghanistan,1990,0.65,3103078,Sunni Muslim,
101,Tajiks,Afghanistan,1991,0.61,3324754,Sunni Muslim,
101,Tajiks,Afghanistan,1992,0.56,3621386,Sunni Muslim,
101,Tajiks,Afghanistan,1993,0.51,3954150,Sunni Muslim,
101,Tajiks,Afghanistan,1994,0.47,4268932,Sunni Muslim,
101,Tajiks,Afghanistan,1995,0.44,4527666,Sunni Muslim,
101,Tajiks,Afghanistan,1996,0.43,4713361,Sunni Muslim,
101,Tajiks,Afghanistan,1997,0.42,4839282,Sunni Muslim,
101,Tajiks,Afghanistan,1998,0.41,4934442,Sunni Muslim,
101,Tajiks,Afghanistan,1999,0.4,5042712,Sunni Muslim,
101,Tajiks,Afghanistan,2000,0.39,5194989,Sunni Muslim,
101,Tajiks,Afghanistan,2001,0.37,5401748,Sunni Muslim,
101,Tajiks,Afghanistan,2002,0.36,5650194,Sunni Muslim,
101,Tajiks,Afghanistan,2003,0.34,5920218,Sunni Muslim,
101,Tajiks,Afghanistan,2004,0.31,6181672,Sunni Muslim,
101,Tajiks,Afghanistan,2005,0.31,6413568,Sunni Muslim,
101,Tajiks,Afghanistan,2006,0.32,6608264,Sunni Muslim,
101,Tajiks,Afghanistan,2007,0.3,6775136,Sunni Muslim,
101,Tajiks,Afghanistan,2008,0.29,6930570,Sunni Muslim,
101,Tajiks,Afghanistan,2009,0.28,7098702,Sunni Muslim,
101,Tajiks,Afghanistan,2010,0.28,7296378,Sunni Muslim,
101,Tajiks,Afghanistan,2011,0.27,7529353,Sunni Muslim,
101,Tajiks,Afghanistan,2012,0.26,7790344,Sunni Muslim,
101,Tajiks,Afghanistan,2013,0.25,8067398,Sunni Muslim,
101,Tajiks,Afghanistan,2014,0.24,8342701,Sunni Muslim,
101,Tajiks,Afghanistan,2015,0.23,8603401,Sunni Muslim,
101,Tajiks,Afghanistan,2016,0.23,8845757,Sunni Muslim,
101,Tajiks,Afghanistan,2017,0.22,9074028,Sunni Muslim,
101,Tajiks,Afghanistan,2018,0.22,9292980,Sunni Muslim,
101,Tajiks,Afghanistan,2019,0.21,9510439,Sunni Muslim,
101,Tajiks,Afghanistan,2020,0.21,9732085,Sunni Muslim,
102,Berbers,Algeria,1963,0.61,3335584,Sunni Muslim,
102,Berbers,Algeria,1964,0.6,3422069,Sunni Muslim,
102,Berbers,Algeria,1965,0.58,3514246,Sunni Muslim,
102,Berbers,Algeria,1966,0.57,3612735,Sunni Muslim,
102,Berbers,Algeria,1967,0.55,3717006,Sunni Muslim,
102,Berbers,Algeria,1968,0.53,3825803,Sunni Muslim,
102,Berbers,Algeria,1969,0.52,3937283,Sunni Muslim,
102,Berbers,Algeria,1970,0.5,4050198,Sunni Muslim,
102,Berbers,Algeria,1971,0.49,4164231,Sunni Muslim,
102,Berbers,Algeria,1972,0.48,4280078,Sunni Muslim,
102,Berbers,Algeria,1973,0.46,4398753,Sunni Muslim,
102,Berbers,Algeria,1974,0.45,4521725,Sunni Muslim,
102,Berbers,Algeria,1975,0.44,4650158,Sunni Muslim,
102,Berbers,Algeria,1976,0.43,4784024,Sunni Muslim,
102,Berbers,Algeria,1977,0.41,4923212,Sunni Muslim,
102,Berbers,Algeria,1978,0.4,5068634,Sunni Muslim,
102,Berbers,Algeria,1979,0.39,5221384,Sunni Muslim,
102,Berbers,Algeria,1980,0.38,5382065,Sunni Muslim,
102,Berbers,Algeria,1981,0.37,5550803,Sunni Muslim,
102,Berbers,Algeria,1982,0.36,5726812,Sunni Muslim,
102,Berbers,Algeria,1983,0.35,5908525,Sunni Muslim,
102,Berbers,Algeria,1984,0.34,6093802,Sunni Muslim,
102,Berbers,Algeria,1985,0.33,6280822,Sunni Muslim,
102,Berbers,Algeria,1986,0.32,6468668,Sunni Muslim,
102,Berbers,Algeria,1987,0.31,6656800,Sunni Muslim,
102,Berbers,Algeria,1988,0.3,6844172,Sunni Muslim,
102,Berbers,Algeria,1989,0.29,7029734,Sunni Muslim,
102,Berbers,Algeria,1990,0.28,7212484,Sunni Muslim,
102,Berbers,Algeria,1991,0.28,7392131,Sunni Muslim,
102,Berbers,Algeria,1992,0.27,7567932,Sunni Muslim,
102,Berbers,Algeria,1993,0.26,7737945,Sunni Muslim,
102,Berbers,Algeria,1994,0.26,7899858,Sunni Muslim,
102,Berbers,Algeria,1995,0.25,8052181,Sunni Muslim,
102,Berbers,Algeria,1996,0.25,8194596,Sunni Muslim,
102,Berbers,Algeria,1997,0.25,8328034,Sunni Muslim,
