kgcid,group,country,year,relative_size,religion_1,religion_2,civil_war,civil_war_onset,civil_war_prev_yr,milex,population,gdp,uds,checks,fh_political_rights,fh_civil_liberties,fh_status,polity_democracy,polity_autocracy,polity_total,election,referendum
101,Tajiks,Afghanistan,1978,0.25,Sunni Muslim,"",1,1,0,,12822342,3300000108.88889,-0.90350099,1,7,7,NF,,,,0,0
101,Tajiks,Afghanistan,1979,0.25,Sunni Muslim,"",1,1,1,,13055383,3697940409.61098,-1.83544055,1,7,7,NF,,,,0,0
101,Tajiks,Afghanistan,1980,0.25,Sunni Muslim,"",1,0,1,,12917355,3641723321.99546,-2.02601497,1,7,7,NF,,,,0,0
101,Tajiks,Afghanistan,1981,0.25,Sunni Muslim,"",1,0,1,,12055908,3478787909.09091,-1.84203805,1,,,"",,,,0,0
101,Tajiks,Afghanistan,1982,0.25,Sunni Muslim,"",1,0,1,,10254482,,-1.83396381,1,7,7,NF,,,,0,0
101,Tajiks,Afghanistan,1983,0.25,Sunni Muslim,"",1,0,1,,9922095,,-1.61140027,1,7,7,NF,,,,0,0
101,Tajiks,Afghanistan,1984,0.25,Sunni Muslim,"",1,0,1,,9980803,,-1.62253835,1,7,7,NF,,,,0,0
101,Tajiks,Afghanistan,1985,0.25,Sunni Muslim,"",1,0,1,,10506570,,-1.832791021,1,7,7,NF,,,,0,0
101,Tajiks,Afghanistan,1986,0.25,Sunni Muslim,"",1,0,1,,10517873,,-1.60955033,1,7,7,NF,,,,0,0
101,Tajiks,Afghanistan,1987,0.25,Sunni Muslim,"",1,0,1,,10379010,,-1.60835728,1,7,7,NF,,,,0,0
101,Tajiks,Afghanistan,1988,0.25,Sunni Muslim,"",1,0,1,,10266506,,-1.26064435,1,6,6,NF,,,,0,0
101,Tajiks,Afghanistan,1989,0.25,Sunni Muslim,"",1,0,1,,10500413,,-1.2877785,1,7,7,NF,0,8,-8,0,0
101,Tajiks,Afghanistan,1990,0.25,Sunni Muslim,"",1,0,1,,10845924,,-1.287861719,1,7,7,NF,0,8,-8,0,0
101,Tajiks,Afghanistan,1991,0.25,Sunni Muslim,"",1,0,1,,10543668,,-1.28991821,1,7,7,NF,0,8,-8,0,0
101,Tajiks,Afghanistan,1992,0.25,Sunni Muslim,"",1,0,1,,10946666,,-0.549915127,1,6,6,NF,,,,0,0
101,Tajiks,Afghanistan,1993,0.25,Sunni Muslim,"",1,0,1,,13168200,,-0.73342966,1,7,7,NF,,,,0,0
101,Tajiks,Afghanistan,1994,0.25,Sunni Muslim,"",1,0,1,,14839320,,-0.734349133,1,7,7,NF,,,,0,0
101,Tajiks,Afghanistan,1995,0.25,Sunni Muslim,"",1,0,1,,16071789,,-0.735070466,1,7,7,NF,,,,0,0
101,Tajiks,Afghanistan,1996,0.25,Sunni Muslim,"",1,0,1,,16766035,,-1.139149948,1,7,7,NF,0,7,-7,0,0
